filename,mosquito_count
DSC_5351.JPG,144
DSC_5352.JPG,158
DSC_5374.JPG,278
DSC_5375.JPG,271
DSC_5376.JPG,276
DSC_5377.JPG,271
DSC_5378.JPG,281
DSC_5399.JPG,534
DSC_5400.JPG,538
DSC_5401.JPG,547
DSC_5402.JPG,559
DSC_5403.JPG,550
DSC_5404.JPG,543
DSC_5405.JPG,551
DSC_5440.JPG,562
DSC_5441.JPG,572
DSC_5442.JPG,561
DSC_5443.JPG,561
DSC_5444.JPG,590
DSC_5445.JPG,616
DSC_5446.JPG,578
DSC_5472.JPG,767
DSC_5473.JPG,775
DSC_5474.JPG,777
DSC_5475.JPG,787
DSC_5476.JPG,768
DSC_5477.JPG,771
DSC_5549.JPG,77
DSC_5550.JPG,81
DSC_5551.JPG,86
DSC_5552.JPG,77
DSC_5553.JPG,87
DSC_5572.JPG,249
DSC_5573.JPG,262
DSC_5574.JPG,279
DSC_5575.JPG,257
DSC_5602.JPG,682
DSC_5603.JPG,702
DSC_5604.JPG,692
DSC_5605.JPG,688
DSC_5606.JPG,678
DSC_5607.JPG,674
DSC_5632.JPG,1447
DSC_5633.JPG,1459
DSC_5634.JPG,1437
DSC_5635.JPG,1439
DSC_5636.JPG,1424
DSC_5637.JPG,1375
DSC_5656.JPG,1875
DSC_5657.JPG,1900
DSC_5658.JPG,1904
DSC_5659.JPG,1890
